cell,cell_type
Cell967,group5
Cell968,group2
Cell969,group2
Cell970,group2
Cell971,group2
Cell972,group5
Cell973,group2
Cell974,group1
Cell975,group2
Cell976,group4
Cell977,group1
Cell978,group3
Cell979,group3
Cell980,group5
Cell981,group2
Cell982,group1
Cell983,group5
Cell984,group5
Cell985,group1
Cell986,group3
Cell987,group1
Cell988,group2
Cell989,group3
Cell990,group4
Cell991,group5
Cell992,group2
Cell993,group3
Cell994,group5
Cell995,group2
Cell996,group1
Cell997,group5
Cell998,group5
Cell999,group5
Cell1000,group2
Cell1001,group2
Cell1002,group2
Cell1003,group2
Cell1004,group2
Cell1005,group5
Cell1006,group4
Cell1007,group2
Cell1008,group4
Cell1009,group5
Cell1010,group2
Cell1011,group2
Cell1012,group2
Cell1013,group3
Cell1014,group2
Cell1015,group2
Cell1016,group2
Cell1017,group5
Cell1018,group5
Cell1019,group2
Cell1020,group4
Cell1021,group2
Cell1022,group1
Cell1023,group3
Cell1024,group3
Cell1025,group2
Cell1026,group3
Cell1027,group2
Cell1028,group2
Cell1029,group2
Cell1030,group1
Cell1031,group3
Cell1032,group1
Cell1033,group3
Cell1034,group4
Cell1035,group2
Cell1036,group2
Cell1037,group4
Cell1038,group3
Cell1039,group3
Cell1040,group3
Cell1041,group2
Cell1042,group2
Cell1043,group1
Cell1044,group4
Cell1045,group3
Cell1046,group4
Cell1047,group1
Cell1048,group1
Cell1049,group4
Cell1050,group2
Cell1051,group5
Cell1052,group1
Cell1053,group4
Cell1054,group2
Cell1055,group4
Cell1056,group1
Cell1057,group2
Cell1058,group5
Cell1059,group2
Cell1060,group3
Cell1061,group2
Cell1062,group4
Cell1063,group4
Cell1064,group2
Cell1065,group4
Cell1066,group3
Cell1067,group5
Cell1068,group3
Cell1069,group5
Cell1070,group3
Cell1071,group2
Cell1072,group1
Cell1073,group2
Cell1074,group5
Cell1075,group5
Cell1076,group3
Cell1077,group1
Cell1078,group1
Cell1079,group3
Cell1080,group3
Cell1081,group3
Cell1082,group2
Cell1083,group2
Cell1084,group2
Cell1085,group5
Cell1086,group3
Cell1087,group3
Cell1088,group1
Cell1089,group4
Cell1090,group3
Cell1091,group2
Cell1092,group5
Cell1093,group2
Cell1094,group2
Cell1095,group2
Cell1096,group3
Cell1097,group3
Cell1098,group3
Cell1099,group2
Cell1100,group1
Cell1101,group2
Cell1102,group1
Cell1103,group3
Cell1104,group2
Cell1105,group2
Cell1106,group2
Cell1107,group4
Cell1108,group3
Cell1109,group1
Cell1110,group4
Cell1111,group1
Cell1112,group2
Cell1113,group2
Cell1114,group1
Cell1115,group2
Cell1116,group5
Cell1117,group3
Cell1118,group2
Cell1119,group2
Cell1120,group4
Cell1121,group5
Cell1122,group1
Cell1123,group2
Cell1124,group4
Cell1125,group3
Cell1126,group3
Cell1127,group2
Cell1128,group5
Cell1129,group2
Cell1130,group3
Cell1131,group5
Cell1132,group2
Cell1133,group4
Cell1134,group2
Cell1135,group1
Cell1136,group5
Cell1137,group1
Cell1138,group2
Cell1139,group5
Cell1140,group3
Cell1141,group5
Cell1142,group5
Cell1143,group2
Cell1144,group3
Cell1145,group2
Cell1146,group2
Cell1147,group2
Cell1148,group2
Cell1149,group5
Cell1150,group2
Cell1151,group4
Cell1152,group4
Cell1153,group2
Cell1154,group1
Cell1155,group2
Cell1156,group4
Cell1157,group2
Cell1158,group5
Cell1159,group4
Cell1160,group5
Cell1161,group5
Cell1162,group2
Cell1163,group4
Cell1164,group2
Cell1165,group2
Cell1166,group5
Cell1167,group5
Cell1168,group5
Cell1169,group3
Cell1170,group2
Cell1171,group2
Cell1172,group5
Cell1173,group4
Cell1174,group3
Cell1175,group5
Cell1176,group2
Cell1177,group2
Cell1178,group2
Cell1179,group4
Cell1180,group5
Cell1181,group5
Cell1182,group5
Cell1183,group4
Cell1184,group4
Cell1185,group2
Cell1186,group2
Cell1187,group4
Cell1188,group4
Cell1189,group2
Cell1190,group3
Cell1191,group1
Cell1192,group2
Cell1193,group2
Cell1194,group1
Cell1195,group4
Cell1196,group1
Cell1197,group2
Cell1198,group3
Cell1199,group2
Cell1200,group2
Cell1201,group3
Cell1202,group4
Cell1203,group5
Cell1204,group4
Cell1205,group4
Cell1206,group3
Cell1207,group2
Cell1208,group3
Cell1209,group2
Cell1210,group5
Cell1211,group4
Cell1212,group2
Cell1213,group3
Cell1214,group1
Cell1215,group2
Cell1216,group5
Cell1217,group2
Cell1218,group3
Cell1219,group2
Cell1220,group4
Cell1221,group4
Cell1222,group2
Cell1223,group5
Cell1224,group2
Cell1225,group1
Cell1226,group4
Cell1227,group5
Cell1228,group5
Cell1229,group2
Cell1230,group3
Cell1231,group5
Cell1232,group5
Cell1233,group5
Cell1234,group5
Cell1235,group2
Cell1236,group1
Cell1237,group2
Cell1238,group3
Cell1239,group2
Cell1240,group5
Cell1241,group1
Cell1242,group2
Cell1243,group5
Cell1244,group1
Cell1245,group3
Cell1246,group1
Cell1247,group2
Cell1248,group3
Cell1249,group2
Cell1250,group4
Cell1251,group4
Cell1252,group4
Cell1253,group5
Cell1254,group5
Cell1255,group2
Cell1256,group1
Cell1257,group3
Cell1258,group1
Cell1259,group1
Cell1260,group4
Cell1261,group2
Cell1262,group2
Cell1263,group1
Cell1264,group2
Cell1265,group4
Cell1266,group3
Cell1267,group1
Cell1268,group2
Cell1269,group4
Cell1270,group2
Cell1271,group5
Cell1272,group2
Cell1273,group2
Cell1274,group2
Cell1275,group2
Cell1276,group1
Cell1277,group5
Cell1278,group2
Cell1279,group4
Cell1280,group3
Cell1281,group2
Cell1282,group3
Cell1283,group1
Cell1284,group2
Cell1285,group5
Cell1286,group1
Cell1287,group2
Cell1288,group2
Cell1289,group3
Cell1290,group2
Cell1291,group2
Cell1292,group2
Cell1293,group1
Cell1294,group4
Cell1295,group1
Cell1296,group2
Cell1297,group1
Cell1298,group5
Cell1299,group1
Cell1300,group1
Cell1301,group1
Cell1302,group2
Cell1303,group3
Cell1304,group4
Cell1305,group3
Cell1306,group5
Cell1307,group3
Cell1308,group2
Cell1309,group2
Cell1310,group2
Cell1311,group5
Cell1312,group4
Cell1313,group3
Cell1314,group1
Cell1315,group5
Cell1316,group1
Cell1317,group4
Cell1318,group1
Cell1319,group3
Cell1320,group4
Cell1321,group5
Cell1322,group3
Cell1323,group1
Cell1324,group3
Cell1325,group4
Cell1326,group2
Cell1327,group3
Cell1328,group4
Cell1329,group2
Cell1330,group5
Cell1331,group1
Cell1332,group1
Cell1333,group2
Cell1334,group5
Cell1335,group2
Cell1336,group5
Cell1337,group3
Cell1338,group1
Cell1339,group5
Cell1340,group3
Cell1341,group5
Cell1342,group3
Cell1343,group3
Cell1344,group5
Cell1345,group4
Cell1346,group4
Cell1347,group3
Cell1348,group2
Cell1349,group3
Cell1350,group2
Cell1351,group5
Cell1352,group2
Cell1353,group5
Cell1354,group3
Cell1355,group3
Cell1356,group2
Cell1357,group4
Cell1358,group2
Cell1359,group3
Cell1360,group2
Cell1361,group3
Cell1362,group1
Cell1363,group3
Cell1364,group2
Cell1365,group2
Cell1366,group2
Cell1367,group2
Cell1368,group4
Cell1369,group1
Cell1370,group3
Cell1371,group3
Cell1372,group3
Cell1373,group2
Cell1374,group2
Cell1375,group1
Cell1376,group2
Cell1377,group4
Cell1378,group2
Cell1379,group2
Cell1380,group1
Cell1381,group2
Cell1382,group1
Cell1383,group4
Cell1384,group5
Cell1385,group1
Cell1386,group4
Cell1387,group2
Cell1388,group2
Cell1389,group3
Cell1390,group5
