"","spot_class","first_type","second_type","first_class","second_class","min_score","singlet_score","conv_all","conv_doublet"
"5470","singlet","Granule","Microglia",FALSE,FALSE,413.305531980559,427.039268573116,TRUE,TRUE
"5471","singlet","Granule","Golgi",FALSE,FALSE,827.541122284865,852.531930149764,TRUE,TRUE
"5472","singlet","Granule","Oligodendrocytes",FALSE,FALSE,544.214580004949,559.084821822509,TRUE,TRUE
"5473","doublet_uncertain","Bergmann","MLI2",FALSE,FALSE,1103.65459757891,1163.44511187072,TRUE,TRUE
"5474","singlet","Granule","Astrocytes",FALSE,FALSE,497.486713434141,505.19235380834,TRUE,TRUE
"5475","doublet_certain","Granule","Astrocytes",FALSE,TRUE,519.835500435833,545.54560202633,TRUE,TRUE
"5476","doublet_uncertain","Bergmann","MLI2",TRUE,FALSE,325.688525257941,365.703407659722,TRUE,TRUE
"5477","singlet","Granule","Oligodendrocytes",FALSE,FALSE,420.80293680354,430.409816998089,TRUE,TRUE
"5478","singlet","Granule","Astrocytes",FALSE,FALSE,750.743736352129,761.336252973493,TRUE,TRUE
"5479","singlet","Oligodendrocytes","Astrocytes",FALSE,FALSE,186.449789832954,201.443637912805,TRUE,TRUE
"5480","doublet_uncertain","Oligodendrocytes","Candelabrum",FALSE,FALSE,349.907538121064,392.213182748724,TRUE,TRUE
"5481","singlet","Lugaro","Polydendrocytes",FALSE,FALSE,552.67625807497,568.059203122539,TRUE,TRUE
"5482","singlet","Bergmann","MLI2",FALSE,FALSE,278.688593469211,282.517772472516,TRUE,TRUE
"5483","singlet","Granule","Oligodendrocytes",FALSE,FALSE,465.227625846762,469.785700813477,TRUE,TRUE
"5484","singlet","Granule","Oligodendrocytes",FALSE,FALSE,769.774791654713,774.102392255265,TRUE,TRUE
"5485","singlet","Granule","Oligodendrocytes",FALSE,FALSE,144.911473576261,146.76334603584,TRUE,TRUE
"5486","singlet","Granule","Oligodendrocytes",FALSE,FALSE,332.508927236488,335.506104811671,TRUE,TRUE
"5487","singlet","Purkinje","Ependymal",FALSE,FALSE,1241.35751029147,1254.68575770862,TRUE,TRUE
"5488","singlet","Granule","Ependymal",FALSE,FALSE,300.456564595025,304.107576618656,TRUE,TRUE
"5489","singlet","MLI2","Bergmann",FALSE,FALSE,432.708673990013,440.480541404097,TRUE,TRUE
"5490","singlet","Granule","Microglia",FALSE,FALSE,216.370396214353,219.668728162904,TRUE,TRUE
"5491","singlet","Granule","Astrocytes",FALSE,FALSE,399.854990047923,409.793296752117,TRUE,TRUE
